Brand,Industry
1001 Mousse,Personal Care
118 118,Telecommunications
2011 Census,Government
32Red,Gaming/Gambling
5 Gum,Food & Beverages
AA Loans,Financial Services
Abbey National Building Society,Financial Services
Abbey National Open Bondshares,Financial Services
Aberlour Malt Whisky,Alcoholic Beverages
Ackermans,Retail/Fashion
Actimel,Food & Beverages
Activia,Food & Beverages
Admiral Insurance,Insurance
Aerogard,Personal Care
Affinity Water,Utilities
Age Concern,Non-Profit/Charity
AGS Windows,Home Improvement
Air Call,Telecommunications
Air Canada,Airlines/Travel
Airfloss Pro,Personal Care
Albert Bartlett Rooster Potatoes,Food & Beverages
Alberto VO5,Personal Care
Aldi,Retail/Grocery
Aldi Ireland,Retail/Grocery
Aldi UK,Retail/Grocery
Alex Lawrie Factors,Financial Services
All Clear Shampoo,Personal Care
Alliance & Leicester Building Society,Financial Services
Alliance & Leicester First Time Buyers Mortgages,Financial Services
Alliance Building Society,Financial Services
Allianz,Insurance
Allied Dunbar,Financial Services
Allinson's Bread,Food & Beverages
Alpen,Food & Beverages
Alton Towers,Entertainment/Theme Parks
Always Sanitary Pads,Personal Care
Alzheimer's Society,Non-Profit/Charity
Ambrosia,Food & Beverages
American Golf,Retail/Sports
Amnesty International,Non-Profit/Charity
Ancestry.co.uk,Technology/Services
Anchor Aerosol Cream,Food & Beverages
Anchor Butter,Food & Beverages
Anchor Squirty Cream,Food & Beverages
Andrex,Personal Care
Anglia Building Society,Financial Services
Anglian Water,Utilities
Anti-NHS Reform Campaign,Political/Advocacy
ANUSOL,Healthcare/Pharmaceuticals
ANZ New Zealand,Financial Services
Aqua Optima,Home & Garden
Aquafresh,Personal Care
Archers,Alcoholic Beverages
Argos,Retail/General
Ariel,Personal Care
Army,Government/Military
Army Cadet Force,Government/Military
Army Recruitment,Government/Military
Arnott's,Food & Beverages
Arriva Buses,Transportation
Arrol's 80 / -,Alcoholic Beverages
Art Fund,Non-Profit/Charity
Art Institute of Chicago,Education/Culture
Arthur's Catfood,Pet Care
Asia Injury Prevention Foundation,Non-Profit/Charity
ASICS,Retail/Sports
Association L'Enfant Bleu,Non-Profit/Charity
ATS Euromaster Car Repair Centres,Automotive Services
Audi,Automotive
Audi A1,Automotive
Audi Quattro,Automotive
Australian Lamb,Food & Beverages
Auto Express,Media/Publishing
Automobile Association,Automotive Services
Aviva,Insurance
Axe,Personal Care
B&Q,Retail/Home Improvement
Baby Fresh,Personal Care
Babycham,Alcoholic Beverages
Bacardi Breezer,Alcoholic Beverages
Baileys,Alcoholic Beverages
Bakers Complete,Pet Care
Bank of Ireland - Student Banking,Financial Services
Barbican Health & Fitness Centre,Health & Fitness
Barbican Lager,Alcoholic Beverages
Barclaycard,Financial Services
Barclays,Financial Services
Barclays Bank,Financial Services
Barclays iShares,Financial Services
Barclays Wealth,Financial Services
Barnardos,Non-Profit/Charity
Barnardo's,Non-Profit/Charity
Bassetts Liquorice Allsorts,Food & Beverages
Batchelors,Food & Beverages
Batchelors Supernoodles,Food & Beverages
BBC,Media/Broadcasting
BBC Education - Adult Literacy,Education/Media
BBC iPlayer,Media/Broadcasting
Be Clear on Cancer,Healthcare/Public Health
Becks Bier,Alcoholic Beverages
Bell's Whisky,Alcoholic Beverages
Benadryl,Healthcare/Pharmaceuticals
Bendicks,Food & Beverages
Benecol,Food & Beverages
Benenden Health,Healthcare/Insurance
Benylin,Healthcare/Pharmaceuticals
Berocca,Healthcare/Pharmaceuticals
Bertolli,Food & Beverages
BFI,Entertainment/Film
BHF,Non-Profit/Charity
Billy Graham's Mission '89,Religious/Non-Profit
Bird's Eye Alphabites,Food & Beverages
Bird's Eye Crispy Chicken,Food & Beverages
Bird's Eye Fish Fingers,Food & Beverages
Bird's Eye Oven Crispy Cod Steaks In Batter,Food & Beverages
Birmingham Executive Airways,Airlines/Travel
Bissell,Home Appliances
Bisto,Food & Beverages
Black Tower Wine,Alcoholic Beverages
Blockbuster Video,Entertainment/Retail
Blue Dragon,Food & Beverages
Blue Riband,Food & Beverages
Bluewater Shopping Centre,Retail/Shopping Centers
bmibaby,Airlines/Travel
BMW,Automotive
Boddingtons,Alcoholic Beverages
Bolia.com,Retail/Furniture
Bombay Sapphire,Alcoholic Beverages
Book Club Associates,Media/Publishing
Boots,Retail/Healthcare
Boots Advantage Card,Retail/Healthcare
Boots Brand Medicines,Healthcare/Pharmaceuticals
Boots No.7,Personal Care
Bosch,Home Appliances/Technology
Boundless,Travel/Services
Bounty paper towels,Personal Care
Boursin,Food & Beverages
Bovril,Food & Beverages
Bowmore Whisky,Alcoholic Beverages
Bradesco Bank,Financial Services
Bradford & Bingley Building Society,Financial Services
Branston Baked Beans,Food & Beverages
Braun Shavers,Personal Care
Bread,Food & Beverages
Breville Toasted Sandwich Maker,Home Appliances
Brighthouse Financial,Financial Services
Britannia Building Society,Financial Services
British Airways,Airlines/Travel
British Airways Shuttle Service,Airlines/Travel
British Army,Government/Military
British Beer and Pub Association,Industry Association
British Diabetic Association,Non-Profit/Charity
British Film Institute,Entertainment/Film
British Gas,Utilities
British Gas Central Heating,Utilities
British Gas Privatisation,Government/Utilities
British Heart Foundation,Non-Profit/Charity
British Nuclear Fuels,Energy/Nuclear
British Sugar,Food & Beverages
British Telecom,Telecommunications
British Turkey Federation,Food & Beverages
Broadband for Scotland,Telecommunications
Brother,Technology/Electronics
BT,Telecommunications
BT Broadband,Telecommunications
BT Business,Telecommunications
BT Call Waiting,Telecommunications
BT Cellnet,Telecommunications
BT Enterprise,Telecommunications
BT Northern Ireland,Telecommunications
BT Privatisation,Government/Telecommunications
BT Retail,Telecommunications
BT Sport,Media/Sports
BT Total Broadband,Telecommunications
BT.com,Telecommunications
BTNI,Telecommunications
Bud Ice,Alcoholic Beverages
Budweiser,Alcoholic Beverages
Bulldog Broadband,Telecommunications
Bupa,Healthcare/Insurance
Burger King UK,Food & Beverages/Restaurants
Butlins,Entertainment/Travel
Butter Council,Industry Association
bwin,Gaming/Gambling
Cable Television,Media/Broadcasting
Cabwise,Transportation/Services
Cadbury,Food & Beverages
Cadbury Biscuits,Food & Beverages
Cadbury Dairy Milk,Food & Beverages
Cadbury Digestives,Food & Beverages
Cadbury High Lights,Food & Beverages
Cadbury's Boost,Food & Beverages
Cadbury's Caramel,Food & Beverages
Cadbury's Creme Egg,Food & Beverages
Cadbury's Crunchie,Food & Beverages
Cadbury's Curly Wurly,Food & Beverages
Cadbury's Dairy Milk,Food & Beverages
Cadbury's Dream,Food & Beverages
Cadbury's Flake,Food & Beverages
Cadbury's Fudge,Food & Beverages
Cadbury's Mini Eggs,Food & Beverages
Cadbury's Roses,Food & Beverages
Cadbury's Wispa,Food & Beverages
Cadet,Personal Care
Cafe Hag,Food & Beverages
California Travel & Tourism Commission,Tourism/Government
Californian Raisins,Food & Beverages
Campari,Alcoholic Beverages
Campbell's Condensed Soup,Food & Beverages
Campbell's Meatballs,Food & Beverages
Campbell's Soup,Food & Beverages
Cancer Relief Macmillan Fund,Non-Profit/Charity
Cancer Research UK,Non-Profit/Charity
Canderel,Food & Beverages
Canned Salmon,Food & Beverages
Capital One,Financial Services
Carex,Personal Care
Carling,Alcoholic Beverages
Carling Black Label,Alcoholic Beverages
Carling iPint,Alcoholic Beverages
Carousel,Entertainment/Retail
Carrick Jewellery,Retail/Jewelry
Castlemaine XXXX,Alcoholic Beverages
Cathedral City,Food & Beverages
Cazoo,Automotive/Technology
Cellnet Callback,Telecommunications
Census 2021,Government
Center Parcs,Entertainment/Travel
Central Coast,Tourism/Travel
CHANGE4LIFE,Healthcare/Public Health
Channel 4,Media/Broadcasting
Channel 5,Media/Broadcasting
Charlton Athletic Supporters' Club,Sports/Entertainment
Cheese,Food & Beverages
Cheltenham and Gloucester Building Society,Financial Services
Cherries from Chile,Food & Beverages
Chessington World of Adventures,Entertainment/Theme Parks
Chicago Town Pizza,Food & Beverages
Chicken Tonight,Food & Beverages
Chicken Tonight Sizzle & Stir,Food & Beverages
Children's World,Retail/Toys
Choosy Catfood,Pet Care
Christian Aid,Non-Profit/Charity
Churchill Square Shopping Centre,Retail/Shopping Centers
CICA trainers,Retail/Sports
Citroen Diesel Range,Automotive
Clairol Nice 'N' Easy,Personal Care
Clarks Desert Boots,Retail/Fashion
Classic Combination Catalogue,Retail/General
Clean & Clear,Personal Care
Clorets,Personal Care
Clover Margarine,Food & Beverages
Coca Cola Zero,Food & Beverages
Coeliac Disease,Healthcare/Non-Profit
COI - Dept for Work & Pensions - Direct Payment,Government
COI - Dept of Education & Employment - Literacy,Government
COI - Dept of Education & Skills - Aimhigher,Government
COI - Dept of Environment Transport & The Regions - Road Safety,Government
COI - Dept of Health - Anti-Smoking,Government
COI - Dept Of Health - Hepatitis C,Government
COI - Dept Of Health - Obesity,Government
COI - Dept Of Health - Solvent Abuse,Government
COI - Dept Of Health - Stroke Awareness,Government
COI - Dept of Social Security - Family Credit,Government
COI - Dept Of Transport - Drink Driving,Government
COI - Dept Of Transport - Road Safety,Government
COI - DHSS - AIDS,Government
COI - Electricity Privatisation,Government
COI - Health Education Authority - AIDS,Government
COI - Health Education Authority - Drugs,Government
COI - Health Education Authority - Emergency Contraception,Government
COI - Health Education Authority - Immunisation,Government
COI - HM Revenue & Customs - Self Assessment,Government
COI - Home Office - Chip Pan Fires,Government
COI - Home Office - Car Crime,Government
COI - Home Office - Crime,Government
COI - Home Office - Home Protection,Government
COI - Home Office - Online Safety,Government
COI - Home Office - Police Recruitment,Government
COI - Home Office - Smoke Alarms,Government
COI - Home Office - TV Licensing,Government
COI - Inland Revenue - Self Assessment,Government
COI - Jobclubs,Government
COI - Ministry of Defence - Army,Government
COI - Ministry of Defence - RAF,Government
COI - Ministry of Defence - Royal Navy,Government
Cointreau,Alcoholic Beverages
Colgate Toothpaste,Personal Care
Colman's Wholegrain Mustard,Food & Beverages
Comfort Fabric Conditioner,Personal Care
Commonwealth Bank,Financial Services
Concierge Car Wash,Automotive Services
confetti.co.uk,Technology/Services
Confused.com,Technology/Services
Congestion Charge,Government/Transportation
Consensia,Technology/Services
Conservative Party,Political
Co-Op Retail Stores,Retail/Grocery
Co-Operative Bank,Financial Services
Co-Operative Bank Gold Card,Financial Services
Co-Operative Bank Visa Card,Financial Services
Coors Light,Alcoholic Beverages
Copperhead Cider,Alcoholic Beverages
Cornetto,Food & Beverages
Corsodyl,Personal Care
Costa,Food & Beverages/Restaurants
Cotswold Co.,Retail/Home & Garden
Country Club Cuisine,Food & Beverages
Country Life Butter,Food & Beverages
Country Manor,Food & Beverages
Covonia,Healthcare/Pharmaceuticals
Cow & Gate Babymeals,Food & Beverages
Cracottes,Food & Beverages
Cravendale,Food & Beverages
Croft Original,Alcoholic Beverages
CrossCountry Trains,Transportation
Crown Paints,Home Improvement
Crown Solo,Home Improvement
Cumbria Tourist Board,Tourism/Government
Cuprinol,Home Improvement
Curanail,Healthcare/Pharmaceuticals
Currys PC World,Retail/Electronics
Cushelle,Personal Care
Cymalon,Healthcare/Pharmaceuticals
Dacia,Automotive
Daewoo,Automotive
Daihatsu Terios,Automotive
Daily Mail,Media/Publishing
Dairy Box,Food & Beverages
Dairylea,Food & Beverages
Danish Bacon,Food & Beverages
Danum Taps,Home Improvement
Data Protection Registrar,Government
DAVE,Technology/Services
David Lloyd Clubs,Health & Fitness
David Sheldrick Wildlife Trust,Non-Profit/Charity
Day Nurse,Healthcare/Pharmaceuticals
Daz,Personal Care
De Beers Diamonds,Retail/Jewelry
Debenhams,Retail/General
Deep Clean Denture Cleaner,Personal Care
Degree Antiperspirant,Personal Care
Demand Broadband,Telecommunications
Dept of Energy Communications & Natural Resources (Ireland) - Energy Efficiency for Ireland,Government
Dept of Environment Northern Ireland - Drink Driving,Government
Dept of Environment Northern Ireland - Road Safety,Government
DERO,Technology/Services
Dettol,Personal Care
Dextro Energy Tablets,Healthcare/Pharmaceuticals
DFS,Retail/Furniture
DHL Worldwide Couriers,Logistics/Shipping
Diageo portfolio,Alcoholic Beverages
Digital UK,Technology/Government
Digital Workplace,Technology/Services
Direct Debit,Financial Services
Direct Line,Insurance
Direct Line Insurance,Insurance
Disability Rights Commission,Government/Non-Profit
Discovery - Marshall Cavendish Partworks,Media/Publishing
DLG,Technology/Services
Dog Registration,Government/Pet Services
Dog's Trust,Non-Profit/Charity
Domino's Pizza,Food & Beverages/Restaurants
Don't Be A Cancer Chancer,Healthcare/Public Health
Doritos,Food & Beverages
Doro Mobile Phones,Technology/Electronics
Dove,Personal Care
Dove Deodorant,Personal Care
Dove Hair Care,Personal Care
Dove Shower Gel,Personal Care
Dr Beckmann Rescue Oven Cleaner,Home & Garden
Draught Guinness in Cans,Alcoholic Beverages
Dream Topping,Food & Beverages
Dulux,Home Improvement
Dunfermline Building Society,Financial Services
Dunlop Carpet Tiles,Home Improvement
Duracell,Technology/Electronics
Duracell Batteries,Technology/Electronics
Dynatron Music Suite,Technology/Electronics
E & P Loans,Financial Services
E4 Skins,Media/Entertainment
East Midlands Trains,Transportation
easyJet,Airlines/Travel
Economist The,Media/Publishing
EDF Energy,Utilities
Edinburgh Club,Entertainment/Hospitality
Edinburgh Zoo,Entertainment/Tourism
Eggo,Food & Beverages
Eggs Authority,Industry Association
Electoral Commission,Government
Electoral Commission - Northern Ireland,Government
Elephant Atta Chakki Gold Chapatti Flour,Food & Beverages
Ella's Kitchen,Food & Beverages
Ellerman Sunflight,Airlines/Travel
English Country Cottages,Tourism/Travel
Enterprise Initiative - Business Consultancy,Business Services
Enterprise-Rent-A-Car,Automotive Services
Equity & Law Life Insurance,Insurance
Erskine Hospital,Healthcare
Essential Waitrose,Retail/Grocery
Eurax,Healthcare/Pharmaceuticals
Europcar,Automotive Services
Eurostar,Transportation
Eurotunnel,Transportation
Eurotunnel Le Shuttle,Transportation
eve Sleep,Retail/Home & Garden
Evening Standard Classified Recruitment,Media/Publishing
Everest,Home Improvement
Evergood Coffee,Food & Beverages
Exbury Gardens,Entertainment/Tourism
Expedia,Travel/Technology
Extra Gum,Food & Beverages
Fairy,Personal Care
Fairy Liquid,Personal Care
Fairy Non Bio Laundry Detergent,Personal Care
Famous Grouse,Alcoholic Beverages
FareShare,Non-Profit/Charity
Farmers Table Chicken,Food & Beverages
Felix Catfoods,Pet Care
